n-elementos,aleatorio,crescente,decrescente
1,8.04e-05,7.599999999999999e-05,6.954e-05
10,0.00012396,0.00010926000000000002,0.00023034
20,0.00013946,0.00010836,0.0006446200000000003
30,0.00016641999999999994,0.00014246,0.0012635200000000002
40,0.00015675999999999996,0.00012809999999999994,0.0016115999999999995
50,0.00014634,0.00011614,0.0021676399999999985
60,0.0002198399999999999,0.00015152000000000007,0.0032595
70,0.00019559999999999998,0.00013476000000000002,0.00393508
80,0.0002027599999999999,0.0001478999999999999,0.0047943
90,0.00036754,0.00025696000000000003,0.008275399999999997
100,0.00034843999999999994,0.00024742,0.007875640000000003
200,0.0007557199999999999,0.00043473999999999987,0.031773180000000005
300,0.0010309999999999998,0.00040790000000000016,0.05496282000000001
400,0.0015114199999999994,0.0005074399999999998,0.09509326000000004
500,0.00219502,0.0006359999999999997,0.1495683
600,0.002993340000000001,0.0007875200000000003,0.2143029
700,0.003830680000000003,0.0008488999999999999,0.28881464
800,0.005107379999999999,0.0012716999999999993,0.3994657999999999
900,0.006138840000000003,0.0013167799999999998,0.5211207200000001
1000,0.007145740000000003,0.0013758599999999998,0.6369691799999998
2000,0.026273739999999997,0.00311778,2.3876307999999997
3000,0.056982519999999974,0.004042419999999999,5.718184399999998
4000,0.10421780000000001,0.005860799999999999,10.090771600000002
5000,0.15512391999999994,0.007102319999999999,16.271274000000002
6000,0.22033988,0.007708499999999997,21.739686000000006
7000,0.35038776000000005,0.00848502,28.433606000000005
8000,0.3797302600000002,0.00986584,37.877044
9000,0.4728525000000002,0.011328060000000004,48.150676
10000,0.6490004000000004,0.01405342,60.98220600000001
20000,2.75290912,0.0243977,239.72554
30000,5.509638259999997,0.036425760000000015,541.18108
40000,10.64687296,0.04892822,961.1364199999997
50000,14.350246619999993,0.06398298000000001,1446.6329999999996
60000,20.43972622,0.08489742000000003,2166.1162000000004
70000,28.421486400000006,0.08818287999999999,2985.9566000000013
80000,36.970087080000006,0.10197196,3923.987
90000,47.03672537999997,0.11550512000000003,4748.289600000001
100000,57.605872360000006,0.12649618,5841.539400000002
